tag,nvidia_gpu_0,M
Activation,2.2485084533691406,64
Decay,0.383270263671875,64
STP,0.38309478759765625,64
Total Weight,0.50299072265625,64
Activation,1.1537704467773438,128
Decay,0.19240570068359375,128
STP,0.19233322143554688,128
Total Weight,0.24052810668945312,128
Activation,0.5774803161621094,256
Decay,0.09639358520507812,256
STP,0.0963592529296875,256
Total Weight,0.143798828125,256
Activation,0.28929901123046875,512
Decay,0.048305511474609375,512
STP,0.048259735107421875,512
Total Weight,0.0724334716796875,512
Activation,0.14485549926757812,1024
Decay,0.048252105712890625,1024
STP,0.048297882080078125,1024
Total Weight,0.09666061401367188,1024
Activation,0.09653091430664062,2048
Decay,0.09661483764648438,2048
STP,0.09664154052734375,2048
Total Weight,0.09669113159179688,2048
Activation,0.048564910888671875,4096
Decay,0.07273101806640625,4096
STP,0.09709548950195312,4096
Total Weight,0.0970611572265625,4096
Activation,0.09725189208984375,8192
Decay,0.0486297607421875,8192
STP,0.09734344482421875,8192
Total Weight,0.097320556640625,8192
Activation,0.09758758544921875,16384
Decay,0.09755706787109375,16384
STP,0.04871368408203125,16384
Total Weight,0.09760665893554688,16384
Activation,0.0489959716796875,32768
Decay,0.09795379638671875,32768
STP,0.097930908203125,32768
Total Weight,0.09794998168945312,32768
