tag,nvidia_gpu_0,M
Activation,1.7327423095703125,64
Decay,0.3411865234375,64
STP,0.3562164306640625,64
Total Weight,0.4685516357421875,64
Activation,0.9311676025390625,128
Decay,0.21258544921875,128
STP,0.2314300537109375,128
Total Weight,0.3258819580078125,128
Activation,0.53277587890625,256
Decay,0.150390625,256
STP,0.1751251220703125,256
Total Weight,0.426055908203125,256
Activation,0.3067626953125,512
Decay,0.3422088623046875,512
STP,0.4011688232421875,512
Total Weight,0.4278411865234375,512
Activation,0.2458648681640625,1024
Decay,0.3587188720703125,1024
STP,0.40411376953125,1024
Total Weight,0.4079132080078125,1024
Activation,0.1756439208984375,2048
Decay,0.3703155517578125,2048
STP,0.4021453857421875,2048
Total Weight,0.4045562744140625,2048
Activation,0.1652679443359375,4096
Decay,0.3879241943359375,4096
STP,0.404144287109375,4096
Total Weight,0.40557861328125,4096
Activation,0.141265869140625,8192
Decay,0.3550262451171875,8192
STP,0.357666015625,8192
Total Weight,0.3580780029296875,8192
Activation,0.141571044921875,16384
Decay,0.3637542724609375,16384
STP,0.3605194091796875,16384
Total Weight,0.3615875244140625,16384
Activation,0.1378326416015625,32768
Decay,0.3685150146484375,32768
STP,0.3624114990234375,32768
Total Weight,0.3615264892578125,32768
